filename,success,count by script,count from input file
20230817_10_408.zip-381718H0.804,false,1086,0
20230817_13_408.zip-381777H0.811,true,733,734
20230817_15_408.zip-381794H0.802,true,189,237
20230817_16_408.zip-381779H0.811,true,1842,1843
20230817_08_408.zip-381716H0.804,true,696,708
20230817_09_408.zip-381700H0.809,true,724,736
20230817_18_408.zip-381763H0.807,true,4668,4675
20230817_07_408.zip-381763H0.813,true,325,331
20230817_07_408.zip-381700H0.814,true,5300,5307
20230817_07_408.zip-381791H0.802,true,349,411
20230817_20_408.zip-381775H0.801,true,1337,1340
20230817_08_408.zip-381720H0.806,true,3283,3384
20230817_07_408.zip-381779H0.808,true,545,556
20230817_12_408.zip-381744H0.812,true,863,867
20230817_18_408.zip-381748H0.812,true,894,898
20230817_13_408.zip-381792H0.802,true,688,736
20230817_15_408.zip-381701H0.817,false,305,305
20230817_17_408.zip-381780H0.811,true,1107,1108
20230817_12_408.zip-381702H0.809,true,1836,1848
20230817_13_408.zip-381787H0.808,true,989,997
20230817_16_408.zip-381721H0.804,true,1071,1076
20230817_22_408.zip-381781H0.811,true,3276,3277
20230817_07_408.zip-381769H0.811,true,887,888
20230817_08_408.zip-381791H0.805,true,780,813
20230817_15_408.zip-381771H0.801,true,1570,1573
20230817_09_408.zip-381768H0.801,true,964,967
20230817_12_408.zip-381785H0.808,true,747,758
20230817_08_408.zip-381770H0.811,true,400,401
20230817_07_408.zip-381797H0.809,true,989,1001
20230817_06_408.zip-381734H0.816,true,1678,1692
20230817_04_408.zip-381765H0.801,true,4667,4682
20230817_20_408.zip-381723H0.804,true,1763,1768
20230817_02_408.zip-381666H0.815,true,831,841
20230817_03_408.zip-381794H0.809,true,991,1007
20230817_09_408.zip-381772H0.811,true,747,748
20230817_10_408.zip-381700H0.819,false,587,587
20230817_08_408.zip-381771H0.811,true,770,771
20230817_10_408.zip-381783H0.808,true,851,862
20230817_18_408.zip-381765H0.807,true,459,460
20230817_01_408.zip-381675H0.808,true,3003,3029
20230817_08_408.zip-381715H0.804,true,5736,5748
20230817_09_408.zip-381782H0.808,true,481,492
20230817_07_408.zip-381796H0.809,true,2801,2814
20230817_06_408.zip-381768H0.815,true,2145,2155
20230817_02_408.zip-381667H0.815,true,272,282
20230817_11_408.zip-381735H0.816,true,3565,3579
20230817_15_408.zip-381720H0.804,true,3121,3131
20230817_16_408.zip-381772H0.801,true,850,853
20230817_11_408.zip-381775H0.811,true,1067,1068
20230817_18_408.zip-381764H0.807,true,849,850
20230817_10_408.zip-381701H0.814,true,2412,2419
20230817_08_408.zip-381767H0.801,true,3603,3606
20230817_06_408.zip-381768H0.811,true,1050,1051
20230817_11_408.zip-381719H0.804,true,1950,1962
20230817_23_408.zip-381782H0.811,true,938,939
20230817_13_408.zip-381745H0.812,true,1096,1100
20230817_20_408.zip-381750H0.812,true,1083,1087
20230817_06_408.zip-381778H0.808,true,4765,4778
20230817_15_408.zip-381702H0.814,true,5027,5034
20230817_09_408.zip-381717H0.804,true,705,717
20230817_23_408.zip-381790H0.808,true,804,812
20230817_08_408.zip-381792H0.805,true,147,180
20230817_13_408.zip-381786H0.808,true,1033,1044
20230817_13_408.zip-381793H0.802,true,1022,1071
20230817_10_408.zip-381701H0.809,true,1497,1509
20230817_14_408.zip-381778H0.811,true,1025,1026
20230817_11_408.zip-381743H0.812,true,4248,4253
20230817_17_408.zip-381747H0.812,true,1647,1651
20230817_10_408.zip-381774H0.811,true,828,829
20230817_11_408.zip-381769H0.801,true,2027,2030
20230817_19_408.zip-381774H0.801,true,1172,1175
20230817_22_408.zip-381789H0.808,true,791,799
20230817_08_408.zip-381742H0.812,true,1976,1981
20230817_01_408.zip-381676H0.808,true,380,395
20230817_19_408.zip-381764H0.813,true,2209,2215
20230817_20_408.zip-381721H0.806,true,4257,4339
20230817_12_408.zip-381770H0.801,true,1102,1105
20230817_14_408.zip-381703H0.809,true,1995,2007
20230817_12_408.zip-381776H0.811,true,585,586
20230817_07_408.zip-381798H0.809,true,640,652
20230817_07_408.zip-381780H0.808,true,356,367
20230817_21_408.zip-381751H0.812,true,658,662
20230817_12_408.zip-381784H0.808,true,1780,1791
20230817_14_408.zip-381746H0.812,true,1081,1085
20230817_08_408.zip-381781H0.808,true,487,498
20230817_09_408.zip-381762H0.807,true,5915,5923
20230817_03_408.zip-381790H0.802,true,868,942
20230817_18_408.zip-381722H0.804,true,1638,1643
20230817_04_408.zip-381795H0.809,true,1137,1153
20230817_08_408.zip-381769H0.815,true,907,917
20230817_05_408.zip-381766H0.801,true,1417,1420
20230817_06_408.zip-381741H0.812,true,6107,6112
20230817_21_408.zip-381788H0.808,true,5674,5682
20230817_18_408.zip-381703H0.814,true,2941,2948
20230817_01_408.zip-381677H0.808,true,250,263
20230817_21_408.zip-381752H0.812,true,769,773
20230817_20_408.zip-381765H0.813,true,2243,2246
20230817_23_408.zip-381791H0.808,true,242,250
20230817_08_408.zip-381799H0.809,true,807,819
20230817_18_408.zip-381773H0.801,true,2174,2177
20230817_19_408.zip-381749H0.812,true,1895,1899
20230817_02_408.zip-381693H0.809,true,6070,6086
20230817_04_408.zip-381767H0.811,true,4565,4566
20230817_20_408.zip-381770H0.815,true,4689,4699
20230817_10_408.zip-381773H0.811,true,504,505
20230817_01_408.zip-381665H0.815,true,4161,4171
